Date,District,Rain,rain,month,year,day
2010-01-16,Sholingur,-,0.0,1,2010,16
2010-01-16,Tirupattur,-,0.0,1,2010,16
2010-01-16,Vaniyambadi,-,0.0,1,2010,16
2010-01-16,Vellore,-,0.0,1,2010,16
2010-01-16,Wallajah,-,0.0,1,2010,16
2010-01-17,Alangayam,-,0.0,1,2010,17
2010-01-17,Ambur,-,0.0,1,2010,17
2010-01-17,Arakkonam,-,0.0,1,2010,17
2010-01-17,Arcot,-,0.0,1,2010,17
2010-01-17,Gudiyatham,-,0.0,1,2010,17
2010-01-17,Melalathur,-,0.0,1,2010,17
2010-01-17,Sholingur,-,0.0,1,2010,17
2010-01-17,Tirupattur,-,0.0,1,2010,17
2010-01-17,Vaniyambadi,-,0.0,1,2010,17
2010-01-17,Vellore,-,0.0,1,2010,17
2010-01-17,Wallajah,-,0.0,1,2010,17
2010-01-18,Alangayam,-,0.0,1,2010,18
2010-01-18,Ambur,-,0.0,1,2010,18
2010-01-18,Arakkonam,-,0.0,1,2010,18
2010-01-18,Arcot,-,0.0,1,2010,18
2010-01-18,Gudiyatham,-,0.0,1,2010,18
2010-01-18,Melalathur,-,0.0,1,2010,18
2010-01-18,Sholingur,-,0.0,1,2010,18
2010-01-18,Tirupattur,-,0.0,1,2010,18
2010-01-18,Vaniyambadi,-,0.0,1,2010,18
2010-01-18,Vellore,-,0.0,1,2010,18
2010-01-18,Wallajah,-,0.0,1,2010,18
2010-01-19,Alangayam,-,0.0,1,2010,19
2010-01-19,Ambur,-,0.0,1,2010,19
2010-01-19,Arakkonam,-,0.0,1,2010,19
2010-01-19,Arcot,-,0.0,1,2010,19
2010-01-19,Gudiyatham,-,0.0,1,2010,19
2010-01-19,Melalathur,-,0.0,1,2010,19
2010-01-19,Sholingur,-,0.0,1,2010,19
2010-01-19,Tirupattur,-,0.0,1,2010,19
2010-01-19,Vaniyambadi,-,0.0,1,2010,19
2010-01-19,Vellore,-,0.0,1,2010,19
2010-01-19,Wallajah,-,0.0,1,2010,19
2010-01-20,Alangayam,-,0.0,1,2010,20
2010-01-20,Ambur,-,0.0,1,2010,20
2010-01-20,Arakkonam,-,0.0,1,2010,20
2010-01-20,Arcot,-,0.0,1,2010,20
2010-01-20,Gudiyatham,-,0.0,1,2010,20
2010-01-20,Melalathur,-,0.0,1,2010,20
2010-01-20,Sholingur,-,0.0,1,2010,20
2010-01-20,Tirupattur,-,0.0,1,2010,20
2010-01-20,Vaniyambadi,-,0.0,1,2010,20
2010-01-20,Vellore,-,0.0,1,2010,20
2010-01-20,Wallajah,-,0.0,1,2010,20
2010-01-21,Alangayam,-,0.0,1,2010,21
2010-01-21,Ambur,-,0.0,1,2010,21
2010-01-21,Arakkonam,-,0.0,1,2010,21
2010-01-21,Arcot,-,0.0,1,2010,21
2010-01-21,Gudiyatham,-,0.0,1,2010,21
2010-01-21,Melalathur,-,0.0,1,2010,21
2010-01-21,Sholingur,-,0.0,1,2010,21
2010-01-21,Tirupattur,-,0.0,1,2010,21
2010-01-21,Vaniyambadi,-,0.0,1,2010,21
2010-01-21,Vellore,-,0.0,1,2010,21
2010-01-21,Wallajah,-,0.0,1,2010,21
2010-01-22,Alangayam,-,0.0,1,2010,22
2010-01-22,Ambur,-,0.0,1,2010,22
2010-01-22,Arakkonam,-,0.0,1,2010,22
2010-01-22,Arcot,-,0.0,1,2010,22
2010-01-22,Gudiyatham,-,0.0,1,2010,22
2010-01-22,Melalathur,-,0.0,1,2010,22
2010-01-22,Sholingur,-,0.0,1,2010,22
2010-01-22,Tirupattur,-,0.0,1,2010,22
2010-01-22,Vaniyambadi,-,0.0,1,2010,22
2010-01-22,Vellore,-,0.0,1,2010,22
2010-01-22,Wallajah,-,0.0,1,2010,22
2010-01-23,Alangayam,-,0.0,1,2010,23
2010-01-23,Ambur,-,0.0,1,2010,23
2010-01-23,Arakkonam,-,0.0,1,2010,23
2010-01-23,Arcot,-,0.0,1,2010,23
2010-01-23,Gudiyatham,-,0.0,1,2010,23
2010-01-23,Melalathur,-,0.0,1,2010,23
2010-01-23,Sholingur,-,0.0,1,2010,23
2010-01-23,Tirupattur,-,0.0,1,2010,23
2010-01-23,Vaniyambadi,-,0.0,1,2010,23
2010-01-23,Vellore,-,0.0,1,2010,23
2010-01-23,Wallajah,-,0.0,1,2010,23
2010-01-24,Alangayam,-,0.0,1,2010,24
2010-01-24,Ambur,-,0.0,1,2010,24
2010-01-24,Arakkonam,-,0.0,1,2010,24
2010-01-24,Arcot,-,0.0,1,2010,24
2010-01-24,Gudiyatham,-,0.0,1,2010,24
2010-01-24,Melalathur,-,0.0,1,2010,24
2010-01-24,Sholingur,-,0.0,1,2010,24
2010-01-24,Tirupattur,-,0.0,1,2010,24
2010-01-24,Vaniyambadi,-,0.0,1,2010,24
2010-01-24,Vellore,-,0.0,1,2010,24
2010-01-24,Wallajah,-,0.0,1,2010,24
2010-01-25,Alangayam,-,0.0,1,2010,25
2010-01-25,Ambur,-,0.0,1,2010,25
2010-01-25,Arakkonam,-,0.0,1,2010,25
2010-01-25,Arcot,-,0.0,1,2010,25
2010-01-25,Gudiyatham,-,0.0,1,2010,25
2010-01-25,Melalathur,-,0.0,1,2010,25
2010-01-25,Sholingur,-,0.0,1,2010,25
2010-01-25,Tirupattur,-,0.0,1,2010,25
2010-01-25,Vaniyambadi,-,0.0,1,2010,25
2010-01-25,Vellore,-,0.0,1,2010,25
2010-01-25,Wallajah,-,0.0,1,2010,25
2010-01-26,Alangayam,-,0.0,1,2010,26
2010-01-26,Ambur,-,0.0,1,2010,26
2010-01-26,Arakkonam,-,0.0,1,2010,26
2010-01-26,Arcot,-,0.0,1,2010,26
2010-01-26,Gudiyatham,-,0.0,1,2010,26
2010-01-26,Melalathur,-,0.0,1,2010,26
2010-01-26,Sholingur,-,0.0,1,2010,26
2010-01-26,Tirupattur,-,0.0,1,2010,26
2010-01-26,Vaniyambadi,-,0.0,1,2010,26
2010-01-26,Vellore,-,0.0,1,2010,26
2010-01-26,Wallajah,-,0.0,1,2010,26
2010-01-27,Alangayam,-,0.0,1,2010,27
2010-01-27,Ambur,-,0.0,1,2010,27
2010-01-27,Arakkonam,-,0.0,1,2010,27
2010-01-27,Arcot,-,0.0,1,2010,27
2010-01-27,Gudiyatham,-,0.0,1,2010,27
2010-01-27,Melalathur,-,0.0,1,2010,27
2010-01-27,Sholingur,-,0.0,1,2010,27
2010-01-27,Tirupattur,-,0.0,1,2010,27
2010-01-27,Vaniyambadi,-,0.0,1,2010,27
2010-01-27,Vellore,-,0.0,1,2010,27
2010-01-27,Wallajah,-,0.0,1,2010,27
2010-01-28,Alangayam,-,0.0,1,2010,28
2010-01-28,Ambur,-,0.0,1,2010,28
2010-01-28,Arakkonam,-,0.0,1,2010,28
2010-01-28,Arcot,-,0.0,1,2010,28
2010-01-28,Gudiyatham,-,0.0,1,2010,28
2010-01-28,Melalathur,-,0.0,1,2010,28
2010-01-28,Sholingur,-,0.0,1,2010,28
2010-01-28,Tirupattur,-,0.0,1,2010,28
2010-01-28,Vaniyambadi,-,0.0,1,2010,28
2010-01-28,Vellore,-,0.0,1,2010,28
2010-01-28,Wallajah,-,0.0,1,2010,28
2010-01-29,Alangayam,-,0.0,1,2010,29
2010-01-29,Ambur,-,0.0,1,2010,29
2010-01-29,Arakkonam,-,0.0,1,2010,29
2010-01-29,Arcot,-,0.0,1,2010,29
2010-01-29,Gudiyatham,-,0.0,1,2010,29
2010-01-29,Melalathur,-,0.0,1,2010,29
2010-01-29,Sholingur,-,0.0,1,2010,29
2010-01-29,Tirupattur,-,0.0,1,2010,29
2010-01-29,Vaniyambadi,-,0.0,1,2010,29
2010-01-29,Vellore,-,0.0,1,2010,29
2010-01-29,Wallajah,-,0.0,1,2010,29
2010-01-30,Alangayam,-,0.0,1,2010,30
2010-01-30,Ambur,-,0.0,1,2010,30
2010-01-30,Arakkonam,-,0.0,1,2010,30
2010-01-30,Arcot,-,0.0,1,2010,30
2010-01-30,Gudiyatham,-,0.0,1,2010,30
2010-01-30,Melalathur,-,0.0,1,2010,30
2010-01-30,Sholingur,-,0.0,1,2010,30
2010-01-30,Tirupattur,-,0.0,1,2010,30
2010-01-30,Vaniyambadi,-,0.0,1,2010,30
2010-01-30,Vellore,-,0.0,1,2010,30
2010-01-30,Wallajah,-,0.0,1,2010,30
2010-01-31,Alangayam,-,0.0,1,2010,31
2010-01-31,Ambur,-,0.0,1,2010,31
2010-01-31,Arakkonam,-,0.0,1,2010,31
2010-01-31,Arcot,-,0.0,1,2010,31
2010-01-31,Gudiyatham,-,0.0,1,2010,31
2010-01-31,Melalathur,-,0.0,1,2010,31
2010-01-31,Sholingur,-,0.0,1,2010,31
